Fraction_Removed,S_Random,L_Random,S_Targeted,L_Targeted
0.05,1.0,2.448516129032258,0.96,2.645098039215686
0.1,1.0,2.518444666001994,0.957983193277311,3.057755006986493
0.15,0.9026548672566371,2.4616579304989323,0.8672566371681416,3.3896486429623396
0.2,0.8785046728971962,2.5090368336765043,0.7009345794392523,3.757117117117117
0.25,0.8712871287128713,2.5381400208986418,0.5148514851485149,4.547511312217194
0.3,0.8736842105263158,2.4995592124595944,0.25263157894736843,4.043478260869565
0.35,0.8314606741573034,2.4690855238800444,0.1348314606741573,2.515151515151515
0.4,0.8192771084337349,2.4907813871817384,0.0963855421686747,2.0
0.45,0.8181818181818182,2.5601638504864312,0.07792207792207792,1.9333333333333333
0.5,0.7887323943661971,2.701948051948052,0.08450704225352113,1.9333333333333333
0.55,0.8,2.7473604826546003,0.06153846153846154,1.6666666666666667
0.6,0.8135593220338984,2.6861702127659575,0.05084745762711865,1.3333333333333333
0.65,0.7924528301886793,2.7781649245063877,0.05660377358490566,1.3333333333333333
0.7,0.8085106382978723,3.012802275960171,0.0425531914893617,1.0
0.75,0.7804878048780488,3.024193548387097,0.04878048780487805,1.0
0.8,0.6285714285714286,2.432900432900433,0.05714285714285714,1.0
0.85,0.4827586206896552,2.4835164835164836,0.06896551724137931,1.0
0.9,0.30434782608695654,1.619047619047619,0.043478260869565216,0.0
0.95,0.29411764705882354,1.5,0.058823529411764705,0.0
1.0,0.36363636363636365,1.3333333333333333,0.09090909090909091,0.0
