Fraction_Removed,S_Random,L_Random,S_Targeted,L_Targeted
0.05,0.22982885085574573,2.546819888496985,0.05256723716381418,4.138427464008859
0.1,0.2361290322580645,2.559598871074281,0.012903225806451613,3.0
0.15,0.23770491803278687,2.608730316922464,0.00273224043715847,1.0
0.2,0.2351233671988389,2.5978835978835977,0.001451378809869376,0.0
0.25,0.23374613003095976,2.684503311258278,0.0015479876160990713,0.0
0.3,0.22719734660033167,2.7220910261914986,0.001658374792703151,0.0
0.35,0.23214285714285715,2.7445438282647583,0.0017857142857142857,0.0
0.4,0.23984526112185686,2.704432205612379,0.0019342359767891683,0.0
0.45,0.24261603375527427,2.7447749809305875,0.002109704641350211,0.0
0.5,0.23433874709976799,2.70970297029703,0.002320185614849188,0.0
0.55,0.2345360824742268,2.715018315018315,0.002577319587628866,0.0
0.6,0.21739130434782608,2.6414414414414416,0.002898550724637681,0.0
0.65,0.2152317880794702,2.683653846153846,0.0033112582781456954,0.0
0.7,0.19305019305019305,2.630204081632653,0.003861003861003861,0.0
0.75,0.19907407407407407,2.7386489479512734,0.004629629629629629,0.0
0.8,0.1907514450867052,2.8125,0.005780346820809248,0.0
0.85,0.15384615384615385,2.3157894736842106,0.007692307692307693,0.0
0.9,0.16091954022988506,2.4065934065934065,0.011494252873563218,0.0
0.95,0.09090909090909091,1.6666666666666667,0.022727272727272728,0.0
1.0,1.0,0.0,1.0,0.0
