Driver_ID,Name,Degree,Degree_Centrality,Betweenness_Centrality,Eigenvector_Centrality
6,Nakajima,97,0.1127906976744186,0.008981509628465266,0.24316805334267785
1,Hamilton,80,0.09302325581395349,0.0051655800657718545,0.2211739499343832
32,Klien,74,0.08604651162790697,0.0035462789961662887,0.21592507832260335
66,McNish,67,0.07790697674418605,0.002208249875915257,0.182223021750653
25,Wurz,61,0.07093023255813953,0.0018716457739084323,0.18503904254378775
34,Ide,61,0.07093023255813953,0.0024339578895065314,0.18782372615759219
37,de la Rosa,55,0.06395348837209303,0.001913603615071719,0.16824773939008303
3,Rosberg,54,0.06279069767441861,0.0011039454551329882,0.1594524008952855
105,Alboreto,53,0.06162790697674418,0.00817733719377531,0.12254425237366467
26,Speed,52,0.06046511627906977,0.001203898813320025,0.17429258949086934
170,Fabi,52,0.06046511627906977,0.0016509088393231164,0.1301109098015511
167,Campos,52,0.06046511627906977,0.0018670087054085873,0.1490446444901251
172,Laffite,51,0.05930232558139535,0.0023313529377077574,0.14107269715687507
27,Albers,51,0.05930232558139535,0.000636281625925825,0.16055069475683345
63,Salo,46,0.053488372093023255,0.0008830980951019803,0.15492285969951133
17,Webber,45,0.05232558139534883,0.0018025882107612406,0.11760043886761873
4,Alonso,44,0.05116279069767442,0.0008267001971583771,0.12343829139716463
176,Surer,43,0.05,0.006403787872293492,0.1315437217568381
21,Fisichella,42,0.04883720930232558,0.00030072684093619304,0.13753366065721054
58,Marques,41,0.04767441860465116,0.0005328468396274463,0.14455584996939497
18,Button,40,0.046511627906976744,0.0011394735513361105,0.10753202810487993
15,Trulli,40,0.046511627906976744,0.0007606533918248556,0.10953119885896462
22,Barrichello,37,0.043023255813953484,0.000256570612892446,0.11798486553754538
51,Wilson,37,0.043023255813953484,0.0009200147982272046,0.13004472532964567
87,Blundell,36,0.04186046511627907,0.000746611814906573,0.10211240068214143
57,Häkkinen,33,0.03837209302325581,0.00015667385188479773,0.13391238780102524
45,Pantano,32,0.037209302325581395,0.00016597171597746127,0.10701226791221566
